id,marketcap
0432c2ca-0dc4-44c5-bf0c-a2feaa4b3130,5443743
049abaff-71e0-4b1a-bcee-942cb1630222,5597833
06963e10-2042-41d3-9583-acb4135460dc,172560
0844705f-10ed-42ca-b483-914b7d59e351,689177513
0889f611-0e32-4e5e-be44-d87dcf8bf9cf,28843906
10e910bd-6f50-4085-bd78-fbbcde408d28,33134620
126938ad-16e3-423a-8803-69d011694a48,35806345
199c287f-3646-49cf-afd3-e17758f66cf0,14369615
1a5aa1bf-0512-4a7d-ac19-ddaccfbee99f,17735912
1ae14641-7365-4be1-9bb9-c86ab07715b3,671721430
1c1cd416-b027-4d73-9d4d-0a9edc63524d,160712818
1d3bfcac-acb6-46ed-99b2-94122b8de833,58430738
2150225f-b2f2-4b59-bc68-001aa8ae4666,7948509
246715d6-065f-475e-8026-3e0a201c7e33,4267057
24e85250-c2a7-4158-8e7d-244818085463,2359813
2b02fee4-7b1b-4ba9-8826-8869866f319c,520965
2f85ad95-288c-4a53-8245-86c0679aff09,569070
30d41b9d-f8eb-4821-8a6e-9016bfd35023,420605
3490b937-5067-436c-bec7-119998ed1333,192264
39268841-e3d8-40b3-8c30-6d6d5bb19bf4,301874511
395fe4e5-1e62-4911-97c4-d25f198ccd70,14150425
3a048f18-7aab-4abf-87bd-9f70572c5a9e,1236504
3bb77159-e905-41bf-9321-ca414622cc2b,3657
3f548a16-866f-4e2c-b3e9-5df6d32d9083,30397894
40aa59cc-c529-4ac7-a8b9-9c20fd8acae5,58921780
42da9689-d86b-40b6-a637-ed56c564edc9,3451322
46f2989f-7eb3-49e4-a32f-5064d6f5b1dc,152659
4885df43-d6b8-4aa2-ba26-245b24d09e50,17740183
4b435425-ad49-462e-89cb-e9c727c3dc50,482090
4c36ad58-bf5f-4671-af04-b07e04871aed,569414421
4eac1be4-a666-4d2c-a354-7e62bd76b5f5,95016
4f714fbe-251c-4f4d-bf0d-bb8f5a5e9d57,116084
4fbbf057-e0cf-47d5-8543-da4ed6045a85,818410063
50d82ac0-c63a-4c7b-9f7b-d6113ae46617,771514
52b9da0d-1cb2-4de2-bcf2-1b43cbb584c6,865239899
565bb04d-471c-4e29-a0de-7a721b8c8881,5804199
57d1ac75-9212-45fc-9caa-2c0790c48398,162746
594c4880-8132-45d1-9c86-68a8b0b18514,48294654
5df45553-ca41-4567-afe2-8077d54992cc,119010
666b535c-530a-4f32-a7aa-21905cb5b9b7,105420857
67045600-171b-4417-b9e3-db2c5a950dc9,899982883
673a26fe-e0ce-4570-8503-3e90adf528ff,10766
68221f51-660f-4bed-88e4-680165a9be0c,184673029
6a25b7d5-8193-403d-b2b3-b72fd98c55fb,8496288
6a998be7-42e5-4047-b55d-99e058bf2248,23452779
6e87c632-4d4b-4c8f-aa8d-edb52a87125c,696960
6f3d4d83-badc-4d5a-b487-a70cea172cab,120133504
70ffc67f-2d85-4162-8696-023dbc5f3d13,118195970
71be68b9-6431-424f-9a54-1500ced0a2e7,30233
7234c1e3-87f4-4a15-b023-daf350f17429,3830958
73b1c708-fff6-4c99-9090-effdd52c5eb1,21534471
73e3f8fb-ea8e-4b49-b1af-7429239cbb6a,10070899
7464bda1-2c3d-4e8f-b3b3-78487d9b2351,327534
74a71d75-c6fb-4d73-97ad-7f82ff56aeba,14942390
7583933b-8511-4122-8c2d-ab11ebcbf7c1,36238963
7a532850-9ec9-4780-94ad-d2759dc1c5cf,131085381
7aa95f5b-5f85-4129-936e-564f43b969f8,94361
7b98978b-69de-43db-abd9-65a3d9c6056e,32796710
81cb66e8-37b1-4f24-a597-04ee4a0456cc,4029646
83d9ca82-15f9-46ca-a80f-74df4f7a055b,3545984
84a7fc09-daeb-470b-be15-575a493a4069,4057556
85ec7d3f-bc7a-4c7a-83c6-1685f18f42fb,456663848
8b88329d-a168-4590-a664-110db3c90308,10665154
8c28c829-ac6b-45e8-9cc0-47441be493e1,15339885
8d8ad247-b9b1-4136-894a-be3298072415,4333600
8de8d193-45b7-4a95-81ff-4a3c1114a102,3429281
8fd8e24d-3540-4b2c-903a-bb5f932ca054,8807001
979cf48d-4724-4647-9c6b-1f3d6e23bfca,78376
98482dd5-6663-4a5f-b93a-b3ac05502123,57422510
9bb73af8-6ad9-4825-b17c-4ccc6a8fbcf8,35132539
